Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 57277ms | tok/sec: 9,153 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 305ms | tok/sec: 1,717,611 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442316 | lrm: 1.00 | dt: 316ms | tok/sec: 1,660,948 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971721 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,398 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578772 | lrm: 1.00 | dt: 317ms | tok/sec: 1,654,738 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248855 | lrm: 1.00 | dt: 313ms | tok/sec: 1,676,892 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998092 | lrm: 1.00 | dt: 318ms | tok/sec: 1,649,693 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787088 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,606 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607000 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,549 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455159 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,921 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325387 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,634 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217084 | lrm: 1.00 | dt: 310ms | tok/sec: 1,688,788 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120720 | lrm: 1.00 | dt: 314ms | tok/sec: 1,669,682 | mfu: 40.3% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034864 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,434 | mfu: 38.8% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962733 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,471 | mfu: 39.7% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.898196 | lrm: 1.00 | dt: 353ms | tok/sec: 1,487,291 | mfu: 35.9% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.842084 | lrm: 1.00 | dt: 311ms | tok/sec: 1,683,478 | mfu: 40.7% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.787557 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,445 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.738527 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,944 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.692965 | lrm: 1.00 | dt: 332ms | tok/sec: 1,580,019 | mfu: 38.2% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.650604 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,294 | mfu: 39.8% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.610044 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,529 | mfu: 39.6% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.574117 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,872 | mfu: 39.3% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.536649 | lrm: 1.00 | dt: 316ms | tok/sec: 1,659,518 | mfu: 40.1% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.500728 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,997 | mfu: 39.4% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.467930 | lrm: 1.00 | dt: 319ms | tok/sec: 1,646,012 | mfu: 39.8% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.436766 | lrm: 1.00 | dt: 316ms | tok/sec: 1,658,833 | mfu: 40.1% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.406307 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,756 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.378333 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,846 | mfu: 39.6% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.349458 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,847 | mfu: 38.2% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.318573 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,877 | mfu: 39.5% | epoch: 1 | remaining: 294s    
step 00031 (2.1%) | loss: 5.288377 | lrm: 1.00 | dt: 315ms | tok/sec: 1,664,180 | mfu: 40.2% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.260157 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,954 | mfu: 39.7% | epoch: 1 | remaining: 293s    
