Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 20,971,520
  lm_head                 : 4,194,304
  transformer_matrices    : 31,457,920
  scalars                 : 20
  total                   : 60,818,068
Estimated FLOPs per token: 2.957023e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011263 | lrm: 1.00 | dt: 32090ms | tok/sec: 8,169 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867222 | lrm: 1.00 | dt: 189ms | tok/sec: 1,385,146 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.483961 | lrm: 1.00 | dt: 190ms | tok/sec: 1,382,000 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.028279 | lrm: 1.00 | dt: 191ms | tok/sec: 1,374,478 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.648293 | lrm: 1.00 | dt: 190ms | tok/sec: 1,379,886 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.319420 | lrm: 1.00 | dt: 205ms | tok/sec: 1,275,902 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.068685 | lrm: 1.00 | dt: 201ms | tok/sec: 1,306,908 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864713 | lrm: 1.00 | dt: 194ms | tok/sec: 1,353,398 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690939 | lrm: 1.00 | dt: 191ms | tok/sec: 1,369,964 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.543709 | lrm: 1.00 | dt: 192ms | tok/sec: 1,366,746 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.421542 | lrm: 1.00 | dt: 205ms | tok/sec: 1,278,012 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.313716 | lrm: 1.00 | dt: 198ms | tok/sec: 1,321,777 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.217073 | lrm: 1.00 | dt: 195ms | tok/sec: 1,344,433 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.135797 | lrm: 1.00 | dt: 192ms | tok/sec: 1,362,670 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.063909 | lrm: 1.00 | dt: 192ms | tok/sec: 1,362,521 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.997619 | lrm: 1.00 | dt: 201ms | tok/sec: 1,302,417 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.939263 | lrm: 1.00 | dt: 197ms | tok/sec: 1,333,216 | mfu: 39.8% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.882947 | lrm: 1.00 | dt: 196ms | tok/sec: 1,340,480 | mfu: 40.1% | epoch: 1 | remaining: 299s    
step 00018 (0.5%) | loss: 5.833366 | lrm: 1.00 | dt: 191ms | tok/sec: 1,371,358 | mfu: 41.0% | epoch: 1 | remaining: 298s    
step 00019 (0.5%) | loss: 5.786675 | lrm: 1.00 | dt: 193ms | tok/sec: 1,355,908 | mfu: 40.5% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.742936 | lrm: 1.00 | dt: 202ms | tok/sec: 1,300,004 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.703328 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,005 | mfu: 40.4% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.668673 | lrm: 1.00 | dt: 198ms | tok/sec: 1,326,149 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00023 (0.8%) | loss: 5.635158 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,546 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00024 (0.8%) | loss: 5.604118 | lrm: 1.00 | dt: 194ms | tok/sec: 1,352,760 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00025 (0.9%) | loss: 5.572716 | lrm: 1.00 | dt: 200ms | tok/sec: 1,309,831 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 5.542125 | lrm: 1.00 | dt: 198ms | tok/sec: 1,325,012 | mfu: 39.6% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.512378 | lrm: 1.00 | dt: 198ms | tok/sec: 1,325,338 | mfu: 39.6% | epoch: 1 | remaining: 297s    
step 00028 (1.1%) | loss: 5.486392 | lrm: 1.00 | dt: 194ms | tok/sec: 1,350,792 | mfu: 40.4% | epoch: 1 | remaining: 296s    
step 00029 (1.2%) | loss: 5.460291 | lrm: 1.00 | dt: 192ms | tok/sec: 1,363,239 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00030 (1.2%) | loss: 5.431043 | lrm: 1.00 | dt: 200ms | tok/sec: 1,308,327 | mfu: 39.1% | epoch: 1 | remaining: 296s    
